Execution_ID,Execution_Date,Module,Test_Case_ID,Test_Title,Browser,Status,Duration_ms,Error_Message,Screenshot_Path,Trace_Path,Executed_By,Notes
RUN-20260512102457,2026-05-12T10:24:57.421Z,1. LOGIN PAGE,LGN-001,LGN-001: Login page UI elements are visible,chromium,passed,3270,,,,Test_Execute_Agent,
RUN-20260512102457,2026-05-12T10:24:57.421Z,1. LOGIN PAGE,LGN-006,LGN-006: Password show/hide toggle works,chromium,passed,2270,,,,Test_Execute_Agent,
RUN-20260512102457,2026-05-12T10:24:57.421Z,1. LOGIN PAGE,LGN-003,LGN-003/LGN-004/LGN-005: Basic validation errors appear for invalid input,chromium,passed,2499,,,,Test_Execute_Agent,
RUN-20260512102457,2026-05-12T10:24:57.421Z,1. LOGIN PAGE,LGN-007,LGN-007: Invalid credentials show generic error,chromium,passed,3331,,,,Test_Execute_Agent,
RUN-20260512102457,2026-05-12T10:24:57.421Z,1. LOGIN PAGE,LGN-008,LGN-008: Successful login redirects to home,chromium,passed,4209,,,,Test_Execute_Agent,
RUN-20260512102457,2026-05-12T10:24:57.421Z,1. LOGIN PAGE,LGN-009,LGN-009: Enter key submits login form,chromium,passed,2309,,,,Test_Execute_Agent,
RUN-20260512102457,2026-05-12T10:24:57.421Z,1. LOGIN PAGE,LGN-002,LGN-002: Logo click navigates to app landing route,chromium,passed,2879,,,,Test_Execute_Agent,
RUN-20260512102457,2026-05-12T10:24:57.421Z,1. LOGIN PAGE,LGN-010,LGN-010: Keyboard tab order reaches interactive controls,chromium,passed,2928,,,,Test_Execute_Agent,
RUN-20260512102457,2026-05-12T10:24:57.421Z,1. LOGIN PAGE,LGN-011,LGN-011: Login API failure shows guarded behavior,chromium,passed,2592,,,,Test_Execute_Agent,
RUN-20260512102457,2026-05-12T10:24:57.421Z,1. LOGIN PAGE,LGN-012,LGN-012: Long email and password values are handled safely,chromium,passed,2308,,,,Test_Execute_Agent,
RUN-20260512102457,2026-05-12T10:24:57.421Z,1. LOGIN PAGE,LGN-001,LGN-001-S: @smoke Login page loads with all key elements,chromium,passed,2063,,,,Test_Execute_Agent,
RUN-20260512102457,2026-05-12T10:24:57.421Z,1. LOGIN PAGE,LGN-008,LGN-008-S: @smoke Successful login with valid credentials,chromium,passed,7055,,,,Test_Execute_Agent,
RUN-20260512102457,2026-05-12T10:24:57.421Z,1. LOGIN PAGE,LGN-013,LGN-013: @regression Empty email field shows validation error,chromium,passed,3226,,,,Test_Execute_Agent,
RUN-20260512102457,2026-05-12T10:24:57.421Z,1. LOGIN PAGE,LGN-014,LGN-014: @regression Empty password field shows validation error,chromium,passed,2354,,,,Test_Execute_Agent,
RUN-20260512102457,2026-05-12T10:24:57.421Z,1. LOGIN PAGE,LGN-015,LGN-015: @regression Whitespace-only credentials are rejected,chromium,passed,2325,,,,Test_Execute_Agent,
