Execution_ID,Execution_Date,Module,Test_Case_ID,Test_Title,Browser,Status,Duration_ms,Error_Message,Screenshot_Path,Trace_Path,Executed_By,Notes
RUN-20260519055607,2026-05-19T05:56:07.077Z,5. CHECKOUT YOUR INFO PAGE,CI-001,CI-001/CI-002: Checkout info page and fields are visible,chromium,passed,6026,,,,Test_Execute_Agent,
RUN-20260519055607,2026-05-19T05:56:07.077Z,5. CHECKOUT YOUR INFO PAGE,CI-003,CI-003: Valid form continues to checkout overview,chromium,passed,4439,,,,Test_Execute_Agent,
RUN-20260519055607,2026-05-19T05:56:07.077Z,5. CHECKOUT YOUR INFO PAGE,CI-004,CI-004/CI-005/CI-006/CI-007/CI-008: Invalid inputs show validation messages,chromium,passed,4814,,,,Test_Execute_Agent,
RUN-20260519055607,2026-05-19T05:56:07.077Z,5. CHECKOUT YOUR INFO PAGE,CI-009,CI-009: Cancel returns to cart,chromium,passed,4179,,,,Test_Execute_Agent,
RUN-20260519055607,2026-05-19T05:56:07.077Z,5. CHECKOUT YOUR INFO PAGE,CI-010,CI-010: Empty-cart flow guard prevents invalid checkout-info progression,chromium,passed,6657,,,,Test_Execute_Agent,
RUN-20260519055607,2026-05-19T05:56:07.077Z,5. CHECKOUT YOUR INFO PAGE,CI-011,CI-011: Validation errors appear in accessible error container,chromium,passed,5408,,,,Test_Execute_Agent,
RUN-20260519055607,2026-05-19T05:56:07.077Z,5. CHECKOUT YOUR INFO PAGE,CI-001,CI-001-S: @smoke Checkout info page loads with all required fields,chromium,passed,8255,,,,Test_Execute_Agent,
RUN-20260519055607,2026-05-19T05:56:07.077Z,5. CHECKOUT YOUR INFO PAGE,CI-003,CI-003-S: @smoke Valid checkout info continues to overview,chromium,passed,6610,,,,Test_Execute_Agent,
RUN-20260519055607,2026-05-19T05:56:07.077Z,5. CHECKOUT YOUR INFO PAGE,CI-012,CI-012: @regression Numeric-only zip code is accepted,chromium,passed,8080,,,,Test_Execute_Agent,
RUN-20260519055607,2026-05-19T05:56:07.077Z,5. CHECKOUT YOUR INFO PAGE,CI-013,CI-013: @regression Single character names are handled gracefully,chromium,passed,6776,,,,Test_Execute_Agent,
RUN-20260519055607,2026-05-19T05:56:07.077Z,5. CHECKOUT YOUR INFO PAGE,CI-014,CI-014: @regression Special characters in name field are handled,chromium,passed,3695,,,,Test_Execute_Agent,
