Execution_ID,Execution_Date,Module,Test_Case_ID,Test_Title,Browser,Status,Duration_ms,Error_Message,Screenshot_Path,Trace_Path,Executed_By,Notes
RUN-20260512102457,2026-05-12T10:24:57.421Z,1. LOGIN PAGE,LGN-001,LGN-001: Login page UI elements are visible,chromium,passed,3270,,,,Test_Execute_Agent,
RUN-20260512102457,2026-05-12T10:24:57.421Z,1. LOGIN PAGE,LGN-006,LGN-006: Password show/hide toggle works,chromium,passed,2270,,,,Test_Execute_Agent,
RUN-20260512102457,2026-05-12T10:24:57.421Z,1. LOGIN PAGE,LGN-003,LGN-003/LGN-004/LGN-005: Basic validation errors appear for invalid input,chromium,passed,2499,,,,Test_Execute_Agent,
RUN-20260512102457,2026-05-12T10:24:57.421Z,1. LOGIN PAGE,LGN-007,LGN-007: Invalid credentials show generic error,chromium,passed,3331,,,,Test_Execute_Agent,
RUN-20260512102457,2026-05-12T10:24:57.421Z,1. LOGIN PAGE,LGN-008,LGN-008: Successful login redirects to home,chromium,passed,4209,,,,Test_Execute_Agent,
RUN-20260512102457,2026-05-12T10:24:57.421Z,1. LOGIN PAGE,LGN-009,LGN-009: Enter key submits login form,chromium,passed,2309,,,,Test_Execute_Agent,
RUN-20260512102457,2026-05-12T10:24:57.421Z,1. LOGIN PAGE,LGN-002,LGN-002: Logo click navigates to app landing route,chromium,passed,2879,,,,Test_Execute_Agent,
RUN-20260512102457,2026-05-12T10:24:57.421Z,1. LOGIN PAGE,LGN-010,LGN-010: Keyboard tab order reaches interactive controls,chromium,passed,2928,,,,Test_Execute_Agent,
RUN-20260512102457,2026-05-12T10:24:57.421Z,1. LOGIN PAGE,LGN-011,LGN-011: Login API failure shows guarded behavior,chromium,passed,2592,,,,Test_Execute_Agent,
RUN-20260512102457,2026-05-12T10:24:57.421Z,1. LOGIN PAGE,LGN-012,LGN-012: Long email and password values are handled safely,chromium,passed,2308,,,,Test_Execute_Agent,
RUN-20260512102457,2026-05-12T10:24:57.421Z,1. LOGIN PAGE,LGN-001,LGN-001-S: @smoke Login page loads with all key elements,chromium,passed,2063,,,,Test_Execute_Agent,
RUN-20260512102457,2026-05-12T10:24:57.421Z,1. LOGIN PAGE,LGN-008,LGN-008-S: @smoke Successful login with valid credentials,chromium,passed,7055,,,,Test_Execute_Agent,
RUN-20260512102457,2026-05-12T10:24:57.421Z,1. LOGIN PAGE,LGN-013,LGN-013: @regression Empty email field shows validation error,chromium,passed,3226,,,,Test_Execute_Agent,
RUN-20260512102457,2026-05-12T10:24:57.421Z,1. LOGIN PAGE,LGN-014,LGN-014: @regression Empty password field shows validation error,chromium,passed,2354,,,,Test_Execute_Agent,
RUN-20260512102457,2026-05-12T10:24:57.421Z,1. LOGIN PAGE,LGN-015,LGN-015: @regression Whitespace-only credentials are rejected,chromium,passed,2325,,,,Test_Execute_Agent,
RUN-20260512102457,2026-05-12T10:24:57.421Z,2. HOME PAGE,HOME-001,HOME-001/HOME-002: Home loads and cart button navigates to cart,chromium,passed,7696,,,,Test_Execute_Agent,
RUN-20260512102457,2026-05-12T10:24:57.421Z,2. HOME PAGE,HOME-003,HOME-003: Profile dropdown shows menu options,chromium,passed,10537,,,,Test_Execute_Agent,
RUN-20260512102457,2026-05-12T10:24:57.421Z,2. HOME PAGE,HOME-005,HOME-005: Sorting dropdown contains expected options,chromium,passed,4483,,,,Test_Execute_Agent,
RUN-20260512102457,2026-05-12T10:24:57.421Z,2. HOME PAGE,HOME-008,HOME-008: Price sort low to high behaves correctly,chromium,passed,5604,,,,Test_Execute_Agent,
RUN-20260512102457,2026-05-12T10:24:57.421Z,2. HOME PAGE,HOME-010,HOME-010: Add to cart updates badge,chromium,passed,3866,,,,Test_Execute_Agent,
RUN-20260512102457,2026-05-12T10:24:57.421Z,2. HOME PAGE,HOME-004,HOME-004: Logout clears session and protects home route,chromium,passed,5359,,,,Test_Execute_Agent,
RUN-20260512102457,2026-05-12T10:24:57.421Z,2. HOME PAGE,HOME-006,HOME-006: A to Z sort orders product names ascending,chromium,passed,5470,,,,Test_Execute_Agent,
RUN-20260512102457,2026-05-12T10:24:57.421Z,2. HOME PAGE,HOME-007,HOME-007: Z to A sort orders product names descending,chromium,passed,4367,,,,Test_Execute_Agent,
RUN-20260512102457,2026-05-12T10:24:57.421Z,2. HOME PAGE,HOME-009,HOME-009: Search option is discoverable and usable when available,chromium,passed,5114,,,,Test_Execute_Agent,
RUN-20260512102457,2026-05-12T10:24:57.421Z,2. HOME PAGE,HOME-011,HOME-011: Favourite toggle control is clickable on product cards,chromium,passed,5911,,,,Test_Execute_Agent,
RUN-20260512102457,2026-05-12T10:24:57.421Z,2. HOME PAGE,HOME-012,HOME-012: Footer links are visible and at least one is navigable,chromium,passed,10146,,,,Test_Execute_Agent,
RUN-20260512102457,2026-05-12T10:24:57.421Z,2. HOME PAGE,HOME-013,HOME-013: Product API failure keeps UI in guarded state,chromium,passed,5973,,,,Test_Execute_Agent,
RUN-20260512102457,2026-05-12T10:24:57.421Z,2. HOME PAGE,HOME-001,HOME-001-S: @smoke Home page loads with product listing after login,chromium,passed,4674,,,,Test_Execute_Agent,
